computation starting
  T                             S                             E                            Cv
0.2                    -289.81688                  -17752.02308                94623751.10149
0.4                    -286.96093                  -18991.65831                   48536.68891
0.6                     449.98845                  -19143.76798                    3864.09536
0.8                    1260.47983                  -19243.41756                    1065.09318
1.0                    1950.53738                  -19269.40579                     995.62906
1.2                    2496.84423                  -19231.18192                     659.18680
1.4                    2700.49514                  -19048.21387                    1686.01380
1.6                    3120.27684                  -18603.07570                    3687.85082
1.8                    3442.73823                  -17919.93342                    5679.37237
2.0                    3468.58049                  -16721.11538                   15609.14030
2.2                    3379.69326                  -15057.81990                   21961.61590
2.4                    2564.90363                  -12611.63737                   24441.25779
2.6                     559.83754                  -10467.57903                   11318.86638
2.8                     248.97668                   -9110.57763                    6636.39630
3.0                    -279.22654                   -8226.44866                    4726.58183
3.2                      50.41733                   -7514.12183                    2652.89173
3.4                      40.99872                   -6899.21278                    2774.44791
3.6                     118.78666                   -6327.49734                    2336.67190
3.8                    -113.92402                   -5934.16494                    1789.17966
4.0                    -114.14656                   -5533.14483                    1389.78786
4.2                      -2.11972                   -5223.08306                    1532.42535
4.4                      54.00857                   -4982.87793                    1274.24516
4.6                      -7.28031                   -4710.33557                    1142.99149
4.8                      12.22064                   -4470.68630                    1025.69658
5.0                      11.32990                   -4267.68447                     874.23963
5.2                      15.15237                   -4100.28808                     913.61823
5.4                       7.47417                   -3936.83901                     629.66336
5.6                      -9.96568                   -3761.15372                     708.32395
5.8                      27.77047                   -3637.99543                     608.75332
6.0                       4.45405                   -3474.11071                     569.60769
